UID,designer,tid,subcategory,Product Tag,Content weight,Style weight,Browse
0,"panicjunkie,beanbeancase,lovespringtime,innerexile,wonderworkshop,littlescroll,rubilization,specialu","1LNcMozq,1fKcWUPZ,1dWKrV5w,1NrPloT8,1xo784ZW,1rRabKFZ,1qoFc4ju,1iOLq0rw","iPhone 週邊,Android 週邊,肩背包/斜背包,平板/電腦保護套,電腦包,束口後背包,iPhone 週邊,手錶","三星,google,htc,押花,nexus,note5,自然,特別,iPhone 週邊,禮品,創意,經典,design,s5,實用,好禮,最佳節日禮物,諾基亞,special,g2,lg,保護,質感,生活,簡約,時尚穿搭,note3,handmade,note4,真花,s4,台灣,m7,iphone,可愛,6,m8,靠手貼,生日禮物,限量款,口袋鏡子,life,nokia,g3,手機殼,手工,nature,摩托羅拉,束口後背包,手表,時尚,設計,男士手錶,mac,獨一無二,nexus5,nexus4,nexus6,sony,壓花,客製化禮物,內膽包,女士手錶,motorola,創新,samsung,造型手錶,流行配件,s3,給她,misuni,plus,手錶、錶,natural系列,竹子,歐美,時間就是金錢,手作",0.0508961280135,0.949103871986,1tLIr0zx
1,"edie,googoods,wakakuwa,kimmidoll,wunghuh,daffodil-handmade,marygo,intheforest,miniworld,dream-designs,monkeycookie,specialu,arielsbouquetandbear,makotohon,opps,kellys,joja-design,mittag,unpeu-tokyo,ysadesign","1R9IzDnu,149GTys_,18H5ZFLX,159QNvoZ,1z4JPC9Z,19O57sQ0,1it4Kkgc,1PyHpTqL,1OfaQDxO,1AhhVfJ1,1vt0ho8a,1oRImYnH,1qprahog,1SoWvl9C,1sRS2fl6,1G9EsL8e,10EWIdfB,1WZLy2sS,1iBCCED3,1mVtUNl3","胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,耳環,胸針,項鍊/墜子,髮飾,卡片/明信片","fashion,羊毛氈,日本花簪,項鍊,胸章,兒童,迷你小相本鑰匙圈◆幾何系列◆,design,寶寶,日式布花,煙火,和風髮飾,時尚穿搭,vintage,handmade,鑰匙圈/鑰匙包,不鏽鋼,月亮,情人節禮物,髮飾,給她,時尚項鍊,純銀,生日禮物,限量款,和福娃娃,客製化禮物,金色,個性,手工,禮物,玻璃工藝品,禮品,交換禮物,設計,耶誕卡片,流行配件,天然貝殼,裝飾品,復古,包包掛勾鑰匙圈,つまみ細工,花朵,包裝盒,耳環,創意,奇異果,花冠,吊飾鑰匙圈,necklace,可愛,時尚達人,手作",0.80641452418,0.19358547582,0
2,"deliatai,oone-n-only,tsukiniyorosiku,twine,ses-handmade-silver,intheforest,kkkkaleidoscope,jillwoolfelt,itsocool,toy-accessory,monkeycookie,crystalspace,lillian-baby,handmadebysherrychan,chuyuculture,zistoire","1EB9FX2e,1MZaVziY,1YY6E82N,1TaTLdiX,14yhgn_L,1l2G-QhI,1sjhMCI3,14szQVk2,1HiWWdoE,17yIqCqx,1czRddgj,1lFxAuh_,19VKhy8m,1rmj7RcF,1FaJOVMv,1RDDuXli","胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,胸針,項鍊/墜子,童裝,髮飾,票夾/隨身夾,鑰匙圈/鑰匙包","ses,胸章,鑰匙圈,創意,design,純銀項鍊,韓風髮箍,kkk.首飾りnecklace,質感,簡約,natural系列,handmade,收納,鑰匙圈/鑰匙包,女孩髮箍,絢太你好,可愛,beau,狗狗的...,小物包,純銀,情人節禮物,限量款,手工,小太出品,禮品,手工皮革,設計,動物,logo系列,胸/別針,禮物,鑰匙包,leather,耳環,present,雜貨,loves,文創,鏤空,手作",0.036503346065,0.963496653935,"1r3ZCWTo,1r_VB2EE"
3,"iamidesign,littleprince,everythinginbetween,sigema,s-made","14Rq3sEa,1VTZwwBQ,1xoV23DQ,1f1NhrOS,1XBJ0jUP","iPhone 週邊,Android 週邊,肩背包/斜背包,平板/電腦保護套,其他7","mini,love,cute,萌,悠遊卡手機殼,ipadmini,貓,可愛,悠遊卡保護殼,in,熊貓造型,情人節,購物袋,肩背包,母親節,tablet,悠遊卡,收納,everything,台灣發明專利商品,animal,between，購物袋，包包，布包,3c,lovely,rat,手工刻章,手機殼,聖誕節,禮物,畢業,kitty,悠遊卡手機保護殼,動物,皮套,ipad,sigema,平板,平板套,gift,中秋節,iphone6,cover,愛，peace,cat,貓貓,手機袋,case,喵星人,book",0.883986835692,0.116013164308,0
4,"bang-on-shop,pollinosis,lunablue,nadia,ishan13,elodie,le-groove,alma-handmade,5step,mrprongs,clock-lock,railplanet,magentalin,murmur,twine","1xfaWs4D,1lwO72OY,1unlj5pu,1ukhY4Bu,1xHzNBML,19yIJ7Q4,1lhC_Ois,1Ekt4NgE,1KkH8OOv,1N0L5iDL,1MaHcYoo,1hawfxpX,1FpfLnqz,1LlFW19n,1n_Mwfzt","胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,胸針,其他3,項鍊/墜子,髮飾,胸針","雙鍊,小物,項鍊,仿珍珠,蕾絲,施華洛世奇水晶,懷錶,創意,design,婚禮,復古手工耳環,手工,natural系列,handmade,客製化禮物,治療,手工製,wood,髮飾,胸針,閃石,婚禮頭飾,白水晶,純銀,限量款,我的她：天真、溫和、善良、熱愛自然,結婚髪飾,透明,禮品,設計,西式婚禮,獨一無二,細鍊,復古,新娘頭飾,皮革,禮物,絲花,水晶,法式優雅,純凈,可愛,手作",0.591377689729,0.408622310271,"1MLRlJzi,1w9Pu9rP,1UJkCb2H,1SFUDbQV"
5,"p714,handcraft,6ix-pm,befine,coolfunstw,csdesign,theheydayshop,dottori,bangstree,livingstudio","1idy8mQf,1JfojtDI,1zdQHQSF,11gZlku5,12zeLJHv,1yU9SV37,1vSuMcxx,1drNPxF1,1XNJXtrq,171xyE1I","iPhone 週邊,Android 週邊,肩背包/斜背包,平板/電腦保護套,電腦包,iPhone 週邊,Android 週邊,褲子/下身 (女),肩背包/斜背包,貼紙","英倫風,art,apple,小物,潮流,文藝,夏季,收納,皮革,design,長褲,台灣原創品牌,實用,6ixpm,wireless無線鍵盤配件,lg,質感,生活,簡約,電話盤,vintage,撞色,筆電,handmade,懷舊,繽紛,客製化禮物,安全,校園,iphone,側背包,15吋筆電,大學生,限量,後背包,電話,電腦包,個性,白底黑字,手工,旅遊,大空間,禮品,手工包,手工皮革,設計,手機殼,無注音,mac,配件,斜背包,古著,sony,htc,熊貓,復古,手製,型格,禮物,平板,冬季,incase,leather,城市,samsung,火箭,筆電包,隨興,聖誕禮物,購物,數字,文青,可愛,Android 週邊,麂皮,手作",0.452800656723,0.547199343277,"1S1aSvqL,1ZsWkGVp,1guFou5L"
6,"bonbonmisha,yoshi850,wzbaglifeart,snupped,jumpfrompaper,csdesign,freshion,issis,azoom,april4hk,optima-taiwan,influence","1V2oPVGS,1vMiNSR6,11V53Cbf,1ESrt6v5,1BEN6tGu,1hnrzEGF,1crSdnTl,1jtU8yD5,1phYmOOs,1xoV6h8W,1l3EfDS0,1U64Orw9","iPhone 週邊,Android 週邊,肩背包/斜背包,平板/電腦保護套,電腦包,iPhone 週邊,其他11,Android 週邊,肩背包/斜背包,便條紙,平板/電腦保護套,貼紙","手工,客製化,apple,雪人,圖案,macbook,雪花,創意,帆布,可愛,聖誕,htc,sport,42mm,設計師,防水,lg,插畫設計,壞壞,香港,台灣製,厚磅帆布包,可愛客製化禮物,貼紙,聖誕老人,保護套,iphone,便條紙,筆電包,防⽔,電腦包,手機殼,聖誕節,memo,football,watch,設計,bear,雲石,38mm,足球,sony,white,時尚,保護殼,便條,冬日,samsung,手機,訂製手機殼,美式,量身訂做,microsoft,pattern,design,Android 週邊,marble,鹿,手作",0.0533677401694,0.946632259831,1g6kqeCu
7,"pixostyle,nemojaune,leslieku,h-a-n-d,snupped,dwl","1qLzBwNN,16ksntO7,1SAI1MfL,1MpQP9LS,1n0pDZMI,1C3OAPcA","iPhone 週邊,Android 週邊,肩背包/斜背包,平板/電腦保護套,電腦包,胸針","客製化,荷蘭,創意,iphone6plus,防水,簡約,design,natural系列,vintage,handmade,手機套,筆電包,豆腐人,限量款,電腦包,手工,手工皮革,設計,胸针,leather,iphone4,量身訂做,可愛,手作,陶土",0.981203277602,0.018796722398,"10xjPcPZ,1aDt4Q7n,1tCPFZO0,15EPfUQG"
8,"csdesign,eyesqu,anddear","1AymmSwH,1vts96x2,17SRcSNe","iPhone 週邊,Android 週邊,肩背包/斜背包","lg,art,手機殼,lphone,samsung,natural系列,設計,塗鴉,骷髏頭,動物,iphone,sony,htc,graffiti,客製化禮物,手製,手作",0.474553747271,0.525446252729,1QzphRjk
9,"decouart,theheydayshop,minixrose,risy,alto","1E3qK5SA,1GKQWy8j,1rgOsXcs,1OEWzr0E,1xxnrdIn","iPhone 週邊,Android 週邊,肩背包/斜背包,平板/電腦保護套,晚宴包/手拿包","客製化,handmade,創意,design,手提包,samsungs4,decouart,手拿包,natural系列,電腦保護套,公事包,聖誕禮物,肩背袋,iphone6+,iphone5c,ipadmini2,ipadmini1,保護套,iphone,側背包,iphone5s,手工,禮物,女裝包,設計,電腦袋,客製化禮物,水松,皮革,samsung,iphone6,iphone4s,iphone4,iphone5,cat,木紋,iphonecase,復古,iphone6plus,手作,Android 週邊,恐龍",0.121126955599,0.878873044401,0
